session,bash-count,shell-count,exit-count,help-count,passwd-count,chpass-count,usradd-count,sh-count,bslash-count,fslash-count,perl-count,python-count,chmod-count,sudo-count,rm-count,history-count,cat-count,uname-count,wc-count,crontab-count,w-count,ps-count,free-count,lscpu-count,nproc-count,uptime-count,wget-count,tftp-count,scp-count,ping-count,kill-count,reboot-count,r1-count,r2-count,r3-count,rcd1-size,rcd2_size,mlen-count,url_count,prot,src,ssh_client,duration,rcd_size,continet,cntry,regioin-code,city-name,lat,long,region-code,target
6852,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,1,3,31,0,0,2,2.0,0.93441081,9,2,13,7,12,-8.95,51.9,7,2
8663,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,31,0,0,2,2.0,0.872554064,7,2,13,7,12,-8.95,51.9,7,2
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,31,0,1,2,2.0,1.002114058,3,2,19,62,51,4.663,51.8656,62,2
6762,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,31,0,0,0,0.0,0.956976175,6,2,13,7,12,-8.95,51.9,7,0
7546,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,31,0,0,0,0.0,0.896799803,10,2,13,7,12,-8.95,51.9,7,0
1983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,5,31,0,0,2,2.0,0.904686928,5,2,13,7,12,-8.95,51.9,7,2
4810,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,6,5,31,0,0,0,0.0,1.28290987,3,2,13,7,12,-8.95,51.9,7,0
5381,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,31,0,0,2,2.0,0.893754005,6,2,13,7,12,-8.95,51.9,7,2
7535,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,2,2,31,0,0,2,2.0,1.896171093,7,2,13,7,12,-8.95,51.9,7,2
4773,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,5,31,0,0,0,0.0,1.248173952,4,2,13,7,12,-8.95,51.9,7,0
2763,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,6,2,31,0,0,1,1.0,1.265100002,3,2,13,7,12,-8.95,51.9,7,1
3409,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,3,1,31,0,0,0,0.0,0.900986195,10,2,13,7,12,-8.95,51.9,7,0
6974,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,31,0,0,2,2.0,0.993466854,0,2,13,7,12,-8.95,51.9,7,2
3525,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,5,5,31,0,0,2,2.0,0.881397009,8,2,13,7,12,-8.95,51.9,7,2
